slot_utc,generated_utc,game_id,team_a,team_a_dice,team_a_hand,team_b,team_b_dice,team_b_hand,winner,drand_round,drand_randomness
2026-08-31T00:25:00Z,2026-08-31T00:25:05.551809Z,2026-08-30-gsv-por,Golden State Valkyries,6-5-6-5-2,Two pair,Portland Fire,2-3-5-3-3,Three of a kind,Portland Fire,6423496,0c617e488bd2a0bdd384d975b12dd0f0c5978c2b9c87cff4eda9db4e0d160e11
2026-08-31T00:30:00Z,2026-08-31T00:30:05.465656Z,2026-08-30-gsv-por,Golden State Valkyries,3-2-3-6-6,Two pair,Portland Fire,6-5-5-5-2,Three of a kind,Portland Fire,6423506,518402b9167f0711c8bf513f21c1acadd97bde6ae163423f2e736dcbb06e6446
2026-08-31T00:35:00Z,2026-08-31T00:35:05.457349Z,2026-08-30-gsv-por,Golden State Valkyries,3-1-1-2-6,One pair,Portland Fire,3-6-4-1-1,One pair,Portland Fire,6423516,7d9887e5cff0b39ba12f5e80611a30c05f200237fa972dc763f626f29ee4e0fe
2026-08-31T00:40:00Z,2026-08-31T00:40:05.747255Z,2026-08-30-gsv-por,Golden State Valkyries,1-5-1-5-1,Full house,Portland Fire,2-6-5-4-2,One pair,Golden State Valkyries,6423526,cdf82c7c438599966c7aed59b6650d19f3a790c5ac386e84f030eee23a24fcb6
2026-08-31T00:45:00Z,2026-08-31T00:45:05.473822Z,2026-08-30-gsv-por,Golden State Valkyries,4-4-4-6-6,Full house,Portland Fire,5-2-3-5-1,One pair,Golden State Valkyries,6423536,e7bff810d78860094fdf98ed3e29d0e748ad8ce20c097bb1a1ac5b1b88677789
2026-08-31T00:50:00Z,2026-08-31T00:50:05.485287Z,2026-08-30-gsv-por,Golden State Valkyries,1-3-3-1-4,Two pair,Portland Fire,2-3-1-2-6,One pair,Golden State Valkyries,6423546,6da4473edb2d151bf34e41b02d4e892c8ddda8fde18dbd8c26e1f2cf414bfa7b
2026-08-31T00:55:00Z,2026-08-31T00:55:05.485300Z,2026-08-30-gsv-por,Golden State Valkyries,1-4-2-6-2,One pair,Portland Fire,3-3-4-4-6,Two pair,Portland Fire,6423556,401136ef97a0271c00a52f85527e39ff35aceaed917b88b27e388822acc93a40
2026-08-31T01:00:00Z,2026-08-31T01:00:05.494958Z,2026-08-30-gsv-por,Golden State Valkyries,1-1-3-3-3,Full house,Portland Fire,6-3-4-5-3,One pair,Golden State Valkyries,6423566,1589e8bb8b037267e7f20f9fd0fd05bb47f6be5efcbde621a58ff6658c3e89fc
2026-08-31T01:05:00Z,2026-08-31T01:05:05.491007Z,2026-08-30-gsv-por,Golden State Valkyries,5-1-1-1-3,Three of a kind,Portland Fire,4-3-4-4-5,Three of a kind,Portland Fire,6423576,8393d4fe841bc82adc2e27809bd93e49b850ba4084cb40dd80987bf7ac3e0e4a
2026-08-31T01:10:00Z,2026-08-31T01:10:05.501952Z,2026-08-30-gsv-por,Golden State Valkyries,3-3-2-3-6,Three of a kind,Portland Fire,1-6-3-5-6,One pair,Golden State Valkyries,6423586,b6e6eccb99ab0b0f6ce68636f8430e8c705898cef3f4526c453cc2c23d99ff3a
2026-08-31T01:15:00Z,2026-08-31T01:15:05.500096Z,2026-08-30-gsv-por,Golden State Valkyries,1-1-1-2-5,Three of a kind,Portland Fire,4-2-4-1-6,One pair,Golden State Valkyries,6423596,4fa1ce905a53f88cb679dd3390283a1fe681b18b40561f820c7d34474611797b
